,UNITID,COSTT4_A,GRAD_DEBT_MDN10YR,NPT4_PUB,MN_EARN_WNE_P10,MN_EARN_WNE_P6,MN_EARN_WNE_P8
683,136233,11900,84.0924009533017,6464,34100,27800,29800
686,136358,15771,75.0703846634304,8999,37800,29800,34200
687,136400,10891,101.086868770768,4793,33100,28000,31000
688,136473,9542,79.5124819906408,2918,32100,26800,29500
690,136516,13717,106.822369138359,7994,35000,29400,32100
699,137078,11633,178.828872829084,2212,36700,31700,34200
701,137096,13677,119.904822841886,10486,39100,30100,34800
703,137209,9326,117.116585140081,3902,35100,30700,33700
706,137281,11576,127.219971185025,5015,33300,28800,32700
707,137315,10123,78.1130623076055,3762,31300,26600,31200
708,137351,21248,190.702736806353,8318,48500,39400,43300
714,137759,9393,81.2935615872312,4136,35100,27700,31600
722,138187,20467,98.5954776683946,14742,37000,29100,32900
727,138354,18622,176.242066748321,8152,43400,33600,37100
732,138558,13223,177.577876445764,7203,36300,29100,33000
736,138682,15950,131.587856862377,8622,25200,22600,24900
737,138716,20538,265.296046577839,14904,34600,27100,32500
741,138840,9344,100.715810521478,319,26700,22500,24400
743,138901,12330,149.727304420509,6649,31100,24700,27300
747,138956,20657,47.7074891943845,13041,28600,25200,27000
752,139250,18595,159.438428887633,13258,32800,27500,30300
753,139278,10682,117.784489988802,2127,32200,26800,30800
754,139311,17743,272.526381606855,10635,42300,35900,39000
756,139357,14552,92.8281723080068,6329,28300,25100,28100
757,139366,20415,275.643270900888,13697,38800,31100,35300
758,139384,11488,68.073286248254,4038,29700,26300,27500
760,139463,11687,137.153730601722,5240,34700,28000,31400
763,139621,14887,124.56955511867,8696,34000,26200,31300
766,139700,12533,127.219971185025,6848,38100,30400,34800
767,139719,20160,328.651592227982,13320,34700,25500,30200
769,139755,29364,229.759267960155,14820,85900,66100,73200
770,139764,19456,199.851973067409,12567,40100,32900,36300
771,139861,28032,235.887029905567,19827,45200,37500,41200
772,139931,23023,246.488694170986,15851,46100,36800,42500
773,139940,27211,221.606588140048,17738,48200,38100,43300
