,UNITID,CIPCODE,CREDLEV,DEBT_ALL_STGP_ANY_MEAN,EARN_MDN_HI_1YR,EARN_MDN_HI_2YR,EARN_NE_MDN_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_NE_3YR,employment_rate,rate_over85
1965,101879.0,5212,3,28136.0,52373.0,38289.0,35196.0,22.0,26.0,0.8461538461538461,0
1966,101879.0,5214,3,21958.0,39312.0,35701.0,45540.0,35.0,37.0,0.9459459459459459,1
1981,101897.0,2401,2,9622.0,21558.0,20960.0,28897.0,39.0,79.0,0.4936708860759494,0
2000,101897.0,5138,2,9229.0,49274.0,45980.0,46684.0,51.0,60.0,0.85,0
2067,101994.0,5139,1,20369.0,36565.0,28236.0,33062.0,18.0,23.0,0.782608695652174,0
2087,102030.0,2401,2,12460.0,21882.0,22710.0,29893.0,21.0,32.0,0.65625,0
2094,102030.0,4805,1,8923.0,18735.0,15090.0,19470.0,47.0,90.0,0.5222222222222223,0
2095,102030.0,4902,1,18036.0,30626.0,32658.0,33874.0,23.0,30.0,0.7666666666666667,0
2100,102030.0,5138,2,21673.0,55330.0,51857.0,56590.0,28.0,35.0,0.8,0
2152,102049.0,3105,3,15497.0,27954.0,29250.0,31333.0,19.0,26.0,0.7307692307692307,0
2203,102049.0,5138,3,27236.0,57355.0,54948.0,54480.0,60.0,62.0,0.967741935483871,1
2209,102049.0,5202,3,23532.0,44263.0,41937.0,45609.0,16.0,19.0,0.8421052631578947,0
2249,102067.0,2401,2,11199.0,18950.0,26534.0,25470.0,23.0,53.0,0.4339622641509434,0
2268,102067.0,5109,2,16094.0,43234.0,38289.0,35934.0,19.0,24.0,0.7916666666666666,0
2269,102067.0,5138,2,17082.0,53533.0,53358.0,50068.0,58.0,68.0,0.8529411764705882,1
2283,102076.0,2401,2,11411.0,21883.0,21280.0,28680.0,110.0,219.0,0.502283105022831,0
2289,102076.0,5138,2,17912.0,49205.0,52822.0,53142.0,48.0,54.0,0.8888888888888888,1
2297,102094.0,901,3,26154.0,29678.0,28849.0,33865.0,68.0,92.0,0.7391304347826086,0
2299,102094.0,1101,3,27180.0,42213.0,51273.0,56577.0,21.0,27.0,0.7777777777777778,0
2304,102094.0,1107,3,27600.0,41527.0,63005.0,65167.0,23.0,22.0,1.0454545454545454,1
2312,102094.0,1312,3,28513.0,35765.0,35335.0,37086.0,111.0,142.0,0.7816901408450704,0
2314,102094.0,1313,3,27051.0,25298.0,32162.0,37998.0,58.0,80.0,0.725,0
2322,102094.0,1408,3,27708.0,58512.0,58402.0,68285.0,25.0,26.0,0.9615384615384616,1
2327,102094.0,1419,3,28012.0,61253.0,66240.0,76272.0,60.0,66.0,0.9090909090909091,1
2333,102094.0,2601,3,27083.0,24634.0,22896.0,27496.0,33.0,54.0,0.6111111111111112,0
2339,102094.0,3000,3,28898.0,28495.0,32071.0,33434.0,67.0,100.0,0.67,0
2346,102094.0,3101,3,26529.0,26609.0,19592.0,28052.0,19.0,32.0,0.59375,0
2355,102094.0,4201,3,26902.0,23217.0,24615.0,28945.0,36.0,54.0,0.6666666666666666,0
2358,102094.0,4301,3,27765.0,31211.0,32806.0,35625.0,60.0,75.0,0.8,0
2368,102094.0,5007,3,31846.0,24384.0,24983.0,28754.0,37.0,51.0,0.7254901960784313,0
2379,102094.0,5111,3,29848.0,28875.0,26546.0,32360.0,67.0,93.0,0.7204301075268817,0
2387,102094.0,5138,3,26499.0,56715.0,55598.0,54604.0,252.0,278.0,0.9064748201438849,1
2393,102094.0,5202,3,25915.0,31217.0,35213.0,42104.0,54.0,65.0,0.8307692307692308,0
2396,102094.0,5203,3,29502.0,40197.0,36232.0,43193.0,59.0,68.0,0.8676470588235294,1
2401,102094.0,5214,3,24387.0,34535.0,35179.0,39311.0,46.0,54.0,0.8518518518518519,1
2402,102094.0,5401,3,27600.0,26028.0,30119.0,35100.0,43.0,47.0,0.9148936170212766,1
2522,102368.0,901,3,20894.0,18789.0,21052.0,32183.0,19.0,24.0,0.7916666666666666,0
2529,102368.0,1101,3,28919.0,52073.0,49136.0,50859.0,84.0,104.0,0.8076923076923077,0
2537,102368.0,1312,3,24347.0,36647.0,36494.0,38189.0,130.0,152.0,0.8552631578947368,1
2546,102368.0,2401,2,28035.0,35873.0,33281.0,34045.0,39.0,71.0,0.5492957746478874,0
2548,102368.0,2601,3,24124.0,19776.0,21660.0,34769.0,36.0,50.0,0.72,0
2557,102368.0,3105,3,26673.0,28767.0,25967.0,36973.0,64.0,82.0,0.7804878048780488,0
2562,102368.0,4201,3,33418.0,31040.0,27812.0,30113.0,151.0,249.0,0.606425702811245,0
2566,102368.0,4301,3,29343.0,38003.0,33651.0,34262.0,185.0,240.0,0.7708333333333334,0
2570,102368.0,4407,3,32613.0,32273.0,30119.0,33040.0,34.0,79.0,0.43037974683544306,0
2572,102368.0,4499,3,31569.0,26708.0,27947.0,37028.0,27.0,32.0,0.84375,0
2573,102368.0,4501,3,30862.0,31866.0,36041.0,32051.0,36.0,57.0,0.631578947368421,0
2579,102368.0,4510,3,30375.0,33338.0,32925.0,38839.0,30.0,39.0,0.7692307692307693,0
2580,102368.0,4511,3,39225.0,39867.0,25658.0,28643.0,21.0,31.0,0.6774193548387096,0
2589,102368.0,5138,2,30244.0,51198.0,51273.0,51487.0,83.0,99.0,0.8383838383838383,0
2590,102368.0,5138,3,24188.0,54369.0,54382.0,54113.0,96.0,104.0,0.9230769230769231,1
2596,102368.0,5201,3,28706.0,40805.0,40129.0,43901.0,226.0,290.0,0.7793103448275862,0
2597,102368.0,5202,3,28945.0,41526.0,43674.0,44545.0,115.0,143.0,0.8041958041958042,0
2600,102368.0,5203,3,27305.0,39734.0,37054.0,43519.0,30.0,45.0,0.6666666666666666,0
2689,102377.0,5202,3,32959.0,47755.0,52107.0,54636.0,29.0,34.0,0.8529411764705882,1
2722,102429.0,2401,2,8438.0,22849.0,25194.0,25499.0,31.0,65.0,0.47692307692307695,0
2733,102429.0,4902,1,22306.0,45233.0,36992.0,40506.0,24.0,28.0,0.8571428571428571,1
2736,102429.0,5138,2,16230.0,51805.0,50806.0,54393.0,146.0,153.0,0.954248366013072,1
2804,102553.0,2401,2,17818.0,28977.0,26264.0,25463.0,43.0,134.0,0.3208955223880597,0
2822,102553.0,4201,3,22614.0,35338.0,37568.0,38397.0,41.0,59.0,0.6949152542372882,0
2850,102553.0,4901,3,23260.0,44631.0,44984.0,49500.0,25.0,29.0,0.8620689655172413,1
2859,102553.0,5108,2,19926.0,39066.0,55770.0,58645.0,23.0,27.0,0.8518518518518519,1
2867,102553.0,5111,2,26260.0,71329.0,68033.0,65761.0,101.0,125.0,0.808,0
2878,102553.0,5138,3,28957.0,73122.0,72101.0,70544.0,105.0,120.0,0.875,1
2884,102553.0,5202,3,24818.0,47951.0,47260.0,51173.0,54.0,69.0,0.782608695652174,0
2887,102553.0,5203,3,22379.0,54366.0,55840.0,61104.0,60.0,73.0,0.821917808219178,0
2890,102553.0,5208,3,15866.0,46628.0,47260.0,58933.0,28.0,29.0,0.9655172413793104,1
2897,102553.0,5220,3,27560.0,80711.0,72274.0,78757.0,22.0,24.0,0.9166666666666666,1
2899,102553.0,5299,2,23527.0,36029.0,27823.0,29609.0,17.0,23.0,0.7391304347826086,0
2950,102614.0,1408,3,18490.0,67843.0,63997.0,79303.0,17.0,21.0,0.8095238095238095,0
2957,102614.0,1419,3,23469.0,62735.0,68219.0,73558.0,24.0,26.0,0.9230769230769231,1
2989,102614.0,2401,2,23768.0,27241.0,26739.0,32435.0,16.0,35.0,0.45714285714285713,0
3097,102614.0,5203,3,26348.0,46188.0,43798.0,53812.0,22.0,27.0,0.8148148148148148,0
3177,102632.0,5202,3,33389.0,53862.0,55383.0,56430.0,58.0,69.0,0.8405797101449275,0
3256,102845.0,4702,1,14801.0,38192.0,35258.0,38401.0,165.0,230.0,0.717391304347826,0
3257,102845.0,4805,1,14524.0,35241.0,31254.0,35214.0,139.0,226.0,0.6150442477876106,0
3260,102845.0,5100,2,23451.0,32320.0,28753.0,30608.0,90.0,143.0,0.6293706293706294,0
3261,102845.0,5106,1,13770.0,25252.0,25817.0,27520.0,269.0,398.0,0.6758793969849246,0
3262,102845.0,5107,1,17994.0,22308.0,25452.0,28069.0,38.0,79.0,0.4810126582278481,0
3265,102845.0,5108,1,15949.0,29349.0,29450.0,30514.0,761.0,1126.0,0.6758436944937833,0
3269,102845.0,5138,2,33515.0,70909.0,68499.0,72138.0,20.0,23.0,0.8695652173913043,1
3274,102845.0,5202,3,40016.0,45669.0,37208.0,38103.0,18.0,28.0,0.6428571428571429,0
3279,102845.0,5204,1,17246.0,22188.0,28816.0,29570.0,18.0,56.0,0.32142857142857145,0
3284,103501.0,5107,1,7966.0,31095.0,29413.0,25246.0,45.0,69.0,0.6521739130434783,0
3285,103501.0,5108,1,9226.0,31626.0,32477.0,30900.0,156.0,223.0,0.6995515695067265,0
